Rk,,Overall,Shootout,Overtime,Division
1,Nashville Predators,53-18-11,6-7,5-4,C
2,Winnipeg Jets,52-20-10,4-2,5-8,C
3,Tampa Bay Lightning,54-23-5,6-2,6-3,A
4,Boston Bruins,50-20-12,3-3,6-9,A
5,Vegas Golden Knights,51-24-7,4-3,8-4,P
6,Toronto Maple Leafs,49-26-7,7-2,5-5,A
7,Washington Capitals,49-26-7,3-1,8-6,M
8,Minnesota Wild,45-26-11,3-3,4-8,C
9,Anaheim Ducks,44-25-13,4-7,5-6,P
10,Pittsburgh Penguins,47-29-6,2-2,12-4,M
11,San Jose Sharks,45-27-10,5-3,5-7,P
12,Los Angeles Kings,45-29-8,2-1,9-7,P
13,Philadelphia Flyers,42-26-14,2-7,9-7,M
14,Columbus Blue Jackets,45-30-7,6-4,9-3,M
15,New Jersey Devils,44-29-9,5-4,6-5,M
16,Colorado Avalanche,43-30-9,2-1,6-8,C
17,St. Louis Blues,44-32-6,3-0,8-6,C
18,Florida Panthers,44-30-8,3-3,3-5,A
19,Dallas Stars,42-32-8,4-3,5-5,C
20,Calgary Flames,37-35-10,2-5,7-5,P
21,Carolina Hurricanes,36-35-11,3-3,3-8,M
22,New York Islanders,35-37-10,3-3,7-7,M
23,Edmonton Oilers,36-40-6,5-1,7-5,P
24,New York Rangers,34-39-9,3-5,7-4,M
25,Chicago Blackhawks,33-39-10,1-2,6-8,C
26,Vancouver Canucks,31-40-11,0-5,6-6,P
27,Detroit Red Wings,30-39-13,5-1,3-12,A
28,Montreal Canadiens,29-40-13,2-6,3-7,A
29,Arizona Coyotes,29-41-12,2-5,7-7,P
30,Ottawa Senators,28-43-11,2-7,8-4,A
31,Buffalo Sabres,25-45-12,1-2,5-10,A
